,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
30,T6,Independent,C2000,ProductDev,Trust,100000-499999,N,323466,1
31,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
32,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
33,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
34,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
35,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
36,T4,Independent,C1000,ProductDev,Trust,0,N,5000,1
37,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
38,T7,Independent,C1000,ProductDev,Association,0,N,5000,0
39,T3,Independent,C1000,Preservation,Trust,25000-99999,N,5000,1
40,T3,Independent,C1000,Preservation,Trust,25000-99999,N,709815,0
41,T2,Independent,C1000,ProductDev,Trust,25000-99999,N,1329410,0
42,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
43,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
44,T3,Independent,C7200,Preservation,Trust,0,N,5000,1
45,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
46,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
47,T7,Independent,C1000,ProductDev,Trust,0,N,5000,0
48,T3,Independent,C1700,Preservation,Trust,0,N,5000,1
49,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
50,T3,Independent,C1000,Preservation,Trust,100000-499999,N,31613,1
51,T3,Independent,C1200,Preservation,Trust,1M-5M,N,1549352,0
52,T3,Independent,C1000,Preservation,Trust,25000-99999,N,5000,0
53,T3,Independent,C2000,Preservation,Trust,10M-50M,N,577113,0
54,T3,Independent,C1000,Preservation,Trust,25000-99999,N,44623,0
55,T3,CompanySponsored,C1000,Preservation,Association,100000-499999,N,64868,0
56,T3,Independent,C1000,Preservation,Trust,100000-499999,N,131620,0
57,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
58,T3,Independent,C1000,Preservation,Trust,1M-5M,N,306133,1
59,T3,Independent,C1000,Preservation,Trust,100000-499999,N,66916,1
60,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
61,T3,Independent,C1000,Preservation,Trust,100000-499999,N,236206,1
62,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
63,T5,Independent,C1000,ProductDev,Trust,100000-499999,N,393704,1
64,T3,Family/Parent,C2000,Preservation,Trust,0,N,5000,1
65,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
66,T9,Independent,C1000,ProductDev,Trust,10M-50M,N,9955466,1
67,T19,CompanySponsored,C1000,ProductDev,Association,25000-99999,N,94869,0
68,T3,Independent,C1000,Preservation,Association,0,N,5000,0
69,T3,Independent,C7000,Preservation,Trust,100000-499999,N,6501,1
70,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
71,T3,Independent,C7000,Preservation,Trust,100000-499999,N,5000,1
72,T3,Independent,C1200,Preservation,Trust,25000-99999,N,5000,1
73,T3,Independent,C4000,Preservation,Trust,0,N,5000,1
74,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
75,T5,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,0
76,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
77,T3,Independent,C1000,Preservation,Trust,10000-24999,N,36607,1
78,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
79,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
80,T3,Independent,C1000,Preservation,Association,0,N,5000,0
81,T3,Independent,C1000,Preservation,Trust,1M-5M,N,484855,1
82,T3,Independent,C7000,Preservation,Trust,0,N,5000,0
83,T6,Independent,C2000,ProductDev,Trust,25000-99999,N,137272,1
84,T3,Independent,C7100,Preservation,Trust,25000-99999,N,5000,1
85,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,1
86,T3,Independent,C1200,Preservation,Trust,25000-99999,N,101980,0
87,T3,Independent,C4000,Preservation,Trust,1M-5M,N,4410503,0
88,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
89,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
90,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
91,T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,N,15477,0
92,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
93,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
94,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
95,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
96,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
97,T3,CompanySponsored,C1200,CommunityServ,Trust,0,N,5000,0
98,T3,CompanySponsored,C1200,CommunityServ,Trust,0,N,5000,0
99,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,1
100,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
101,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
102,T3,Independent,C1000,Preservation,Trust,25000-99999,N,24211,1
103,T3,Independent,C1200,Preservation,Trust,100000-499999,N,9868,1
104,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
105,T8,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
106,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
107,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
108,T4,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
109,T3,Independent,C2800,Preservation,Trust,0,N,5000,1
110,T4,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
111,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
112,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
113,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
114,T3,Independent,C1700,Preservation,Trust,10000-24999,N,5000,1
115,T3,Independent,C1000,Preservation,Trust,100000-499999,N,5000,1
116,T3,CompanySponsored,C2000,CommunityServ,Trust,0,N,5000,1
117,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
118,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
119,T4,Independent,C1000,ProductDev,Trust,0,N,5000,1
120,T8,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
121,T3,Independent,C6000,Preservation,Trust,0,N,5000,1
122,T6,Independent,C1000,ProductDev,Trust,0,N,5000,0
123,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
124,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
125,T3,Independent,C1000,Preservation,Association,0,N,5000,1
126,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
127,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
128,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
129,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
130,T3,Independent,C2100,Preservation,Trust,1-9999,N,5000,1
131,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
132,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
133,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
134,T6,Independent,C2000,ProductDev,Trust,1-9999,N,5000,1
135,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
136,T3,Independent,C1700,Preservation,Trust,25000-99999,N,638229,1
137,T3,Independent,C1000,Preservation,Trust,25000-99999,N,20520,1
138,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
139,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
140,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
141,T3,Independent,C1238,Preservation,Trust,0,N,5000,1
142,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
143,T3,Independent,C1000,Preservation,Association,1-9999,N,5000,1
144,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
145,T3,Independent,C1000,Preservation,Trust,10000-24999,N,8160,1
146,T5,Independent,C3000,ProductDev,Trust,0,N,5000,0
147,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
148,T4,CompanySponsored,C3000,Preservation,Association,0,N,5000,0
149,T3,Independent,C2100,Preservation,Trust,0,N,5000,1
150,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
151,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
152,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,34879,0
153,T6,Independent,C2000,ProductDev,Trust,0,N,5000,0
154,T3,Independent,C1000,Preservation,Trust,100000-499999,N,205120,0
155,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
156,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
157,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
158,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
159,T3,Independent,C2000,Preservation,Trust,100000-499999,N,12829,1
160,T3,Independent,C7000,Preservation,Trust,25000-99999,N,452970,1
161,T3,Independent,C1000,Preservation,Trust,100000-499999,N,72961,1
162,T19,Independent,C1000,Preservation,Association,0,N,5000,1
163,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
164,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
165,T4,Independent,C1000,ProductDev,Co-operative,0,N,5000,1
166,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
167,T3,Independent,C7000,ProductDev,Trust,10000-24999,N,12860,1
168,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
169,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
170,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
171,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
172,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
173,T3,CompanySponsored,C5000,Preservation,Association,0,N,5000,0
174,T3,Independent,C1200,Preservation,Trust,25000-99999,N,696502,0
175,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
176,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
177,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
178,T3,CompanySponsored,C7000,Preservation,Association,100000-499999,N,259589,0
179,T4,Independent,C1000,ProductDev,Trust,0,N,5000,0
180,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
181,T3,Independent,C7000,Preservation,Trust,10000-24999,N,5213,0
182,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
183,T6,Independent,C1000,ProductDev,Trust,0,N,5000,1
184,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
185,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
186,T4,CompanySponsored,C3000,ProductDev,Association,0,N,5000,1
187,T6,Independent,C1000,ProductDev,Trust,25000-99999,N,49112,1
188,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
189,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
190,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
191,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,86584,1
192,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
193,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
194,T3,Independent,C1000,Preservation,Trust,25000-99999,N,4108874,1
195,T9,Independent,C1000,ProductDev,Co-operative,10M-50M,N,25175802,1
196,T9,Independent,C1000,ProductDev,Trust,0,N,5000,1
197,T5,Independent,C1000,ProductDev,Co-operative,25000-99999,N,132449,1
198,T4,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
199,T3,Independent,C7120,Preservation,Association,0,N,5000,1
200,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
201,T7,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
202,T3,Independent,C7100,Preservation,Trust,0,N,5000,1
203,T3,Independent,C1200,Preservation,Trust,25000-99999,N,73686,1
204,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
205,T6,Independent,C2000,ProductDev,Trust,0,N,5000,1
206,T3,Independent,C1000,Preservation,Trust,25000-99999,N,723426,1
207,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
208,T8,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
209,T5,Independent,C1000,ProductDev,Trust,0,N,5000,1
210,T3,Independent,C2000,Preservation,Trust,100000-499999,N,521883,1
211,T3,Independent,C2000,Preservation,Association,0,N,5000,0
212,T3,Independent,C1200,Preservation,Trust,25000-99999,N,855350,1
213,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
214,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
215,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
216,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
217,T3,Independent,C2000,Preservation,Trust,100000-499999,N,370941,1
218,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
219,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
220,T3,Independent,C1200,Preservation,Trust,25000-99999,N,5000,1
221,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
222,T3,Independent,C1200,Preservation,Association,0,N,5000,1
223,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
224,T3,Independent,C2000,Preservation,Trust,100000-499999,N,1728949,1
225,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
226,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
227,T8,Independent,C1000,Preservation,Association,0,N,5000,0
228,T7,Independent,C1000,ProductDev,Trust,1M-5M,N,287332,0
229,T6,Independent,C1000,ProductDev,Trust,1M-5M,N,1790960,1
230,T5,CompanySponsored,C3000,ProductDev,Association,1-9999,N,23799,0
231,T3,Independent,C1200,Preservation,Trust,100000-499999,N,201655,1
232,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,0
233,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
234,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
235,T3,CompanySponsored,C1800,Preservation,Association,5M-10M,N,27285052,1
236,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,0
237,T5,Independent,C2000,ProductDev,Trust,10000-24999,N,7139,1
238,T3,Independent,C1000,Preservation,Trust,25000-99999,N,74643,1
239,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,1
240,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
241,T3,Independent,C1000,Preservation,Trust,25000-99999,N,640921,0
242,T3,Independent,C1000,Preservation,Trust,100000-499999,N,2705244,0
243,T3,Independent,C1200,Preservation,Trust,5M-10M,N,2770474,1
244,T10,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
245,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
246,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
247,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
248,T3,CompanySponsored,C1000,Preservation,Co-operative,0,N,5000,0
249,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
250,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
251,T6,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
252,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
253,T6,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
254,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
255,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
256,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
257,T3,Independent,C4000,Preservation,Trust,0,N,5000,0
258,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
259,T3,Independent,C1000,Preservation,Trust,100000-499999,N,61686,0
260,T3,Independent,C1000,Preservation,Trust,1M-5M,N,1064584,1
261,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
262,T3,Independent,C1000,Preservation,Trust,25000-99999,N,25736,1
263,T7,CompanySponsored,C1000,ProductDev,Association,0,N,5000,1
264,T3,Independent,C1000,Heathcare,Trust,10M-50M,N,17512616,1
265,T3,Independent,C1200,Preservation,Trust,100000-499999,N,39064,1
266,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
267,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,0
268,T3,CompanySponsored,C2100,Preservation,Association,0,N,5000,0
269,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
270,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
271,T7,Independent,C1000,ProductDev,Association,0,N,5000,0
272,T3,Independent,C1000,Preservation,Trust,25000-99999,N,67654,0
273,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
274,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
275,T3,CompanySponsored,C2000,Preservation,Association,25000-99999,N,139694,0
276,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
277,T8,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
278,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
279,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
280,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
281,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
282,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
283,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
284,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
285,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
286,T3,Independent,C1000,Preservation,Trust,1-9999,N,5000,1
287,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
288,T4,Independent,C3000,ProductDev,Trust,0,N,5000,1
289,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
290,T19,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,0
291,T19,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,0
292,T19,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,0
293,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
294,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
295,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
296,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
297,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
298,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
299,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
300,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
301,T3,Independent,C2000,Preservation,Trust,0,N,5000,0
302,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
303,T3,Independent,C7000,Preservation,Trust,100000-499999,N,212362,1
304,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
305,T3,Independent,C1000,Preservation,Trust,25000-99999,N,87981,0
306,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
307,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
308,T3,Independent,C1200,Preservation,Trust,25000-99999,N,16027,1
309,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
310,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
311,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
312,T3,Independent,C1000,Preservation,Trust,25000-99999,N,1066994,1
313,T6,Independent,C2000,ProductDev,Trust,25000-99999,N,107484,1
314,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
315,T3,Independent,C1000,Preservation,Trust,100000-499999,N,9860,1
316,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
317,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
318,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
319,T5,Independent,C3000,ProductDev,Association,0,N,5000,0
320,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
321,T3,Independent,C1000,Preservation,Trust,100000-499999,N,20380,1
322,T4,CompanySponsored,C3000,Preservation,Trust,0,N,5000,0
323,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
324,T3,Independent,C1000,Preservation,Association,0,N,5000,1
325,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
326,T3,Independent,C1000,Preservation,Trust,100000-499999,N,293732,0
327,T13,Independent,C1000,Preservation,Co-operative,0,N,5000,1
328,T3,Independent,C1700,Preservation,Trust,25000-99999,N,2471994,1
329,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
330,T3,Independent,C2700,Preservation,Trust,1M-5M,N,2793433,0
331,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
332,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
333,T3,Independent,C1000,Preservation,Trust,25000-99999,N,324268,1
334,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
335,T3,Independent,C2000,Preservation,Trust,25000-99999,N,343650,1
336,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
337,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
338,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
339,T3,Independent,C1200,Preservation,Association,0,N,5000,1
340,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
341,T3,Independent,C1000,Preservation,Trust,100000-499999,N,497726,1
342,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
343,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
344,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
345,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
346,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
347,T4,CompanySponsored,C1000,ProductDev,Association,0,N,5000,1
348,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
349,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
350,T3,Independent,C1200,Preservation,Trust,25000-99999,N,28993,1
351,T3,Independent,C1000,Preservation,Trust,10000-24999,N,118358,1
352,T3,Independent,C2000,Preservation,Trust,25000-99999,N,2257305,1
353,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
354,T3,CompanySponsored,C1200,CommunityServ,Trust,0,N,5000,0
355,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
356,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
357,T3,Independent,C2000,Preservation,Association,0,N,5000,1
358,T3,CompanySponsored,C2000,ProductDev,Trust,25000-99999,N,64723,0
359,T3,Independent,C1200,Preservation,Trust,10000-24999,N,403069,1
360,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
361,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
362,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
363,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
364,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
365,T3,Independent,C1000,Preservation,Association,25000-99999,N,5000,0
366,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
367,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
368,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
369,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
370,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
371,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
372,T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,N,8120,0
373,T3,Independent,C2000,Preservation,Trust,25000-99999,N,329188,1
374,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
375,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
376,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
377,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
378,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,5000,1
379,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
380,T3,Independent,C1000,Preservation,Association,0,N,5000,0
381,T3,CompanySponsored,C1200,CommunityServ,Association,0,N,5000,1
382,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
383,T6,Independent,C2000,ProductDev,Trust,0,N,5000,1
384,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
385,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
386,T3,Independent,C1000,Preservation,Trust,25000-99999,N,6960,1
387,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
388,T3,Independent,C1000,Preservation,Trust,100000-499999,N,180240,1
389,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
390,T4,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
391,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
392,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
393,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
394,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
395,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
396,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
397,T3,Independent,C1200,Preservation,Association,0,N,5000,1
398,T3,CompanySponsored,C1000,Preservation,Trust,1-9999,N,47901,0
399,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
400,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
401,T3,Independent,C1000,Preservation,Trust,100000-499999,N,23322,1
402,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
403,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
404,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
405,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
406,T3,Independent,C4000,Preservation,Trust,100000-499999,N,102050,1
407,T3,Independent,C4100,Preservation,Trust,0,N,5000,1
408,T3,Independent,C7200,Preservation,Trust,0,N,5000,1
409,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
